TotalEnvSteps,Iteration,dLoss,PolicyExecTime,GradNorm,StdReturn,MaxReturn,AverageReturn,ProcessExecTime,EnvExecTime,MinReturn,LossAfter,KLBefore,NumTrajs,LossBefore,Entropy,KL,AverageDiscountedReturn
5171,0,-0.0007979869842529297,3.68084979057312,0.40118242098783075,64.91580630542938,-60.59999999999998,-182.50384615384615,0.09657955169677734,4.8525073528289795,-365.50000000000006,-0.18025505542755127,0.0,312,-0.1810530424118042,1.583138346672058,0.0009779725223779678,-92.6889176611184
10343,1,-0.0005902498960494995,3.0856502056121826,0.4250711077649864,53.92293426953588,-77.5,-172.3153846153846,0.07509064674377441,4.152153491973877,-279.5,-0.18284136056900024,0.0009747654548846185,312,-0.18343161046504974,1.5803680419921875,0.0011571606155484915,-93.04540887910099
15445,2,-0.004471674561500549,3.057316780090332,0.39264479951872744,56.9631019626486,-54.8,-164.79615384615383,0.07596111297607422,4.1709206104278564,-304.0,-0.18232835829257965,0.0011560479179024696,312,-0.1868000328540802,1.578473687171936,0.0011787652038037777,-86.13121447449375
20616,3,-0.00044167041778564453,2.997311592102051,0.36688130316876305,53.6051667782635,-32.99999999999997,-160.6384615384615,0.07520198822021484,4.067462921142578,-224.5,-0.17983874678611755,0.0011941737029701471,312,-0.1802804172039032,1.5781158208847046,0.00112446048296988,-83.92972327456587
25728,4,0.001362442970275879,3.0484507083892822,0.4478879920352778,53.6506788422727,-87.70000000000002,-178.5653846153846,0.07601785659790039,4.281775236129761,-287.00000000000006,-0.1793672740459442,0.0011399377835914493,312,-0.17800483107566833,1.5774389505386353,0.0010618146043270826,-97.29805904276213
30728,5,-0.002631664276123047,2.9469316005706787,0.4236482789042393,47.97355938431087,-109.99999999999999,-175.26,0.07275676727294922,4.143332481384277,-279.5,-0.18104253709316254,0.0010862774215638638,300,-0.18367420136928558,1.5753830671310425,0.0011783294612541795,-89.0360619216276
35728,6,-0.004405677318572998,2.9235854148864746,0.46644230505554485,36.60702664789917,-112.49999999999997,-174.66,0.07201457023620605,4.214026927947998,-243.00000000000003,-0.18040737509727478,0.001211883849464357,300,-0.18481305241584778,1.5716187953948975,0.0011924650752916932,-90.78134990901343
40728,7,-0.0036153793334960938,3.002598762512207,0.38721614903424595,53.76746227970966,-94.49999999999997,-180.4,0.07225728034973145,4.32357120513916,-312.00000000000006,-0.18002282083034515,0.0011948758037760854,300,-0.18363820016384125,1.5682964324951172,0.0011609024368226528,-96.98977806135906
45728,8,-0.0034976154565811157,2.9205691814422607,0.42167724073500196,49.23738417097319,-81.49999999999997,-158.8,0.07218050956726074,4.1718268394470215,-316.00000000000006,-0.17970146238803864,0.0011767453979700804,300,-0.18319907784461975,1.5649107694625854,0.0011697262525558472,-88.31839193812552
50728,9,-0.0009451061487197876,3.0041661262512207,0.44758639096938607,47.73763295346765,-70.49999999999999,-151.78,0.07418417930603027,4.13524866104126,-253.50000000000003,-0.18054336309432983,0.0011696991277858615,300,-0.18148846924304962,1.562836766242981,0.0010574174812063575,-82.21592112897791
55728,10,0.0006121248006820679,2.9766793251037598,0.4108118129465109,44.64215944597663,-33.49999999999997,-126.74,0.07402300834655762,4.144955396652222,-219.50000000000003,-0.17802341282367706,0.0010446832748129964,300,-0.177411288022995,1.5596364736557007,0.0010394265409559011,-67.32658063666783
60728,11,-0.0036504268646240234,2.9722483158111572,0.49365887163606315,48.864653892153996,-53.49999999999999,-145.84,0.0721120834350586,4.262031316757202,-269.50000000000006,-0.17863987386226654,0.0010910819983109832,300,-0.18229030072689056,1.554446816444397,0.0010520113864913583,-78.36466059995305
65728,12,-0.004945844411849976,2.9468915462493896,0.4087970905702937,49.38790945160567,-62.999999999999986,-147.38,0.07179093360900879,4.328795909881592,-277.0,-0.17881359159946442,0.001080000540241599,300,-0.1837594360113144,1.5488815307617188,0.0012842364376410842,-83.79807887215674
70728,13,-0.009944066405296326,3.008622884750366,0.44785981254722973,35.274999645641394,-29.499999999999982,-119.38,0.07278323173522949,4.249440670013428,-204.0,-0.1781739592552185,0.0012679039500653744,300,-0.18811802566051483,1.545356035232544,0.0011738426983356476,-68.26621765696741
75887,14,0.0028627514839172363,2.9707202911376953,0.42496989725311873,36.209712360508604,-19.499999999999986,-120.15,0.07507753372192383,4.354097604751587,-187.5,-0.17883363366127014,0.0011682846816256642,312,-0.1759708821773529,1.5439419746398926,0.0011807153932750225,-69.12891417401988
80887,15,-0.002629190683364868,3.0287747383117676,0.4687525125156798,49.27918830500357,-40.49999999999998,-112.96,0.07451486587524414,4.385312557220459,-218.00000000000006,-0.17808237671852112,0.001195135759189725,300,-0.180711567401886,1.538848876953125,0.0011132677318528295,-65.78067925011081
85887,16,-0.003053009510040283,2.928941488265991,0.419597816373563,39.52181169936419,-57.999999999999986,-126.08,0.07300591468811035,4.341827630996704,-200.00000000000003,-0.17767153680324554,0.0011577914701774716,300,-0.18072454631328583,1.5349394083023071,0.0012378216488286853,-71.38799583859168
90887,17,-0.0002184063196182251,2.96101713180542,0.4275358245659952,35.084834330519506,-49.499999999999986,-118.38,0.07319426536560059,4.392276048660278,-173.0,-0.17616695165634155,0.001244053361006081,300,-0.17638535797595978,1.531677007675171,0.0009844431187957525,-68.992956128809
95887,18,-0.0066070556640625,2.996978759765625,0.42731535039482105,44.71288852221472,-20.999999999999975,-108.74,0.07333850860595703,4.4545557498931885,-192.00000000000003,-0.1794312447309494,0.000983035541139543,300,-0.1860383003950119,1.5257107019424438,0.00116319814696908,-65.48530457209996
100887,19,-0.005872368812561035,3.0399928092956543,0.43004143425207053,34.34021549146132,-21.0,-92.64,0.07445001602172852,4.437814950942993,-169.00000000000003,-0.1734706163406372,0.0011510830372571945,300,-0.17934298515319824,1.5230395793914795,0.0009189273696392775,-55.56332790593605
105887,20,-0.0005364567041397095,2.965153694152832,0.5108063591157238,40.83674815653177,-4.499999999999997,-96.8,0.07283425331115723,4.409091949462891,-159.00000000000003,-0.1759214550256729,0.0009185872040688992,300,-0.17645791172981262,1.52036714553833,0.0008834603358991444,-56.71888964583029
110887,21,-0.0014857500791549683,3.0001113414764404,0.473814670686912,37.9067276350782,-24.49999999999998,-102.9,0.07320833206176758,4.449408292770386,-185.50000000000003,-0.17596487700939178,0.0008994303643703461,300,-0.17745062708854675,1.5152627229690552,0.001004260266199708,-61.915560736770324
115887,22,-0.0009131133556365967,3.033979654312134,0.5319002626378798,39.47447783061862,-14.999999999999988,-93.66,0.07470035552978516,4.541719675064087,-168.00000000000006,-0.17486487329006195,0.00100515631493181,300,-0.17577798664569855,1.5130575895309448,0.001084019080735743,-55.72751290507435
120887,23,-0.004876762628555298,2.9735801219940186,0.48662866188021126,39.506941162281855,-10.499999999999986,-81.96,0.07244086265563965,4.400719881057739,-151.0,-0.17670033872127533,0.0010756028350442648,300,-0.18157710134983063,1.5103729963302612,0.001151569653302431,-47.271757818326215
125887,24,-0.011647120118141174,2.99251651763916,0.45133964925339265,34.407010913475176,-31.999999999999993,-91.76,0.07367682456970215,4.49819803237915,-182.49999999999994,-0.17551331222057343,0.0011523653520271182,300,-0.1871604323387146,1.5058602094650269,0.0011525186710059643,-57.14454908617797
130887,25,-0.0030093342065811157,3.0204546451568604,0.39445701961500457,27.014070407844873,-22.999999999999993,-87.8,0.07240724563598633,4.5008580684661865,-141.0,-0.17362889647483826,0.0011631811503320932,300,-0.17663823068141937,1.5034196376800537,0.000935611838940531,-57.211001205641054
135887,26,-0.0027936995029449463,2.931877613067627,0.47386280509396606,31.124035728035015,-3.499999999999991,-66.62,0.07294392585754395,4.348014831542969,-120.99999999999999,-0.175737202167511,0.0009171261335723102,300,-0.17853090167045593,1.5040042400360107,0.0010089677525684237,-39.9363055544864
140887,27,-0.005116268992424011,3.036059856414795,0.4593194973811882,34.72232711095269,-17.000000000000007,-70.5,0.07281684875488281,4.493067502975464,-136.50000000000003,-0.17365774512290955,0.0010154306655749679,300,-0.17877401411533356,1.4993648529052734,0.0009512299438938498,-39.52651973397766
145887,28,-0.0006126612424850464,3.054143190383911,0.4985483489092092,32.046940571605276,1.7763568394002505e-15,-65.05999999999999,0.07585883140563965,4.499170303344727,-137.00000000000006,-0.17468805611133575,0.00095800228882581,300,-0.1753007173538208,1.5003107786178589,0.001118653453886509,-38.771029856655886
150887,29,-0.004075333476066589,3.082045793533325,0.44904793044722513,27.89305289852655,-32.499999999999986,-79.25999999999999,0.07339072227478027,4.597433567047119,-132.50000000000003,-0.1739547997713089,0.001109100878238678,300,-0.1780301332473755,1.498874306678772,0.0010404313215985894,-50.07849268471319
155887,30,-0.006664708256721497,2.9214582443237305,0.5114547726679233,22.226614677003788,-34.99999999999997,-66.26,0.0723416805267334,4.396514177322388,-122.5,-0.17323163151741028,0.0010277335532009602,300,-0.17989633977413177,1.4960194826126099,0.0010592140024527907,-39.173749250223736
