MinReturn,NumTrajs,PolicyExecTime,StdReturn,KL,AverageReturn,dLoss,MaxReturn,Iteration,LossBefore,Entropy,GradNorm,LossAfter,KLBefore,EnvExecTime,AverageDiscountedReturn,ProcessExecTime,TotalEnvSteps
-199.5,304,4.398171901702881,41.15379951695154,0.0012260584626346827,-97.32894736842105,-0.0007453262805938721,-14.499999999999998,0,-0.175594300031662,1.5734450817108154,0.250979655969801,-0.17484897375106812,0.0,4.9013378620147705,-56.335677749671106,0.12687134742736816,7600
-138.99999999999997,304,4.232983112335205,29.191614076819604,0.0012958705192431808,-87.94210526315787,-0.0004082918167114258,-15.799999999999981,1,-0.17483101785182953,1.571702480316162,0.25222077650460184,-0.1744227260351181,0.001245834631845355,4.744706630706787,-50.46396526270865,0.11524367332458496,15138
-190.00000000000003,304,4.202806234359741,42.996033766704464,0.0013435101136565208,-93.50526315789473,0.0010091066360473633,-16.19999999999999,2,-0.17365328967571259,1.5675618648529053,0.2912564154165601,-0.17466239631175995,0.001336482586339116,4.920152902603149,-52.3268744237664,0.11586952209472656,22690
-197.5,304,4.193039894104004,34.13032096046367,0.0011779072228819132,-92.44736842105263,0.0011807829141616821,-29.49999999999998,3,-0.17218472063541412,1.5665403604507446,0.2692864828779049,-0.1733655035495758,0.0013375920243561268,4.775407791137695,-53.09555346171313,0.11411404609680176,30290
-164.50000000000003,304,4.121711492538452,33.57202999612835,0.0013669716427102685,-86.5657894736842,0.0023706406354904175,-25.499999999999982,4,-0.17452262341976166,1.5638068914413452,0.3270193659658931,-0.17689326405525208,0.0011657729046419263,4.775347948074341,-51.18684667174915,0.11386728286743164,37890
-162.99999999999997,304,4.16032862663269,38.48504944093114,0.001453711069189012,-81.42105263157895,0.0011940747499465942,-1.9999999999999893,5,-0.17529171705245972,1.5610172748565674,0.3053548086373299,-0.1764857918024063,0.0013692699139937758,4.77324652671814,-47.490375133952945,0.1134788990020752,45490
-134.0,304,4.176339149475098,25.547472648498164,0.0014130444033071399,-80.30789473684207,-0.0004715919494628906,-32.49999999999998,6,-0.17592521011829376,1.5566028356552124,0.2966810383847321,-0.17545361816883087,0.001442466164007783,4.952575922012329,-48.84522485379576,0.11278724670410156,53082
-146.00000000000003,304,4.0618674755096436,26.83481583168071,0.001325014396570623,-60.89473684210525,0.0029787570238113403,-13.999999999999993,7,-0.171058788895607,1.5540200471878052,0.32362444888850894,-0.17403754591941833,0.0013989316066727042,4.687626600265503,-36.4228219996447,0.11036396026611328,60682
-146.0,304,4.185790777206421,32.71945140126894,0.001310143619775772,-63.75,-0.00044830143451690674,10.499999999999991,8,-0.1746751219034195,1.5520198345184326,0.2937122276521437,-0.1742268204689026,0.0013108456041663885,4.868913412094116,-36.4747368715904,0.11217331886291504,68282
-152.5,304,4.099834203720093,31.587259542004613,0.0013210888719186187,-67.57631578947367,-0.00039252638816833496,-15.499999999999991,9,-0.17469535768032074,1.5514169931411743,0.30148739523107376,-0.1743028312921524,0.001333114574663341,4.77364706993103,-41.28472346481868,0.11188864707946777,75866
-160.5,304,4.126391887664795,30.028172367529663,0.0012051125522702932,-67.07894736842104,-0.0003965049982070923,-13.999999999999972,10,-0.17361216247081757,1.5476441383361816,0.3349342394628909,-0.17321565747261047,0.0013052317081019282,4.680243968963623,-39.41621152106902,0.11208844184875488,83466
-235.50000000000009,304,4.3473100662231445,39.118890184309656,0.0013450458645820618,-64.09210526315788,-0.0009257346391677856,-13.49999999999999,11,-0.17510473728179932,1.5432261228561401,0.3190614253526853,-0.17417900264263153,0.0012106013018637896,5.037524223327637,-39.25969895732499,0.11724567413330078,91066
-128.99999999999997,304,4.177225828170776,26.94406589549189,0.0012297197245061398,-61.13157894736841,-0.005682021379470825,5.0000000000000195,12,-0.17872454226016998,1.5427634716033936,0.27227470317292146,-0.17304252088069916,0.0013462132774293423,4.8711254596710205,-37.94413599353329,0.11250114440917969,98651
-119.0,304,4.122363567352295,23.622965403603207,0.0013346303021535277,-61.96052631578945,0.0009371638298034668,-10.49999999999998,13,-0.1740507334470749,1.5430248975753784,0.27859798479736114,-0.17498789727687836,0.0012248969869688153,4.73568320274353,-37.44883631227292,0.1114664077758789,106176
-125.00000000000001,304,4.10737681388855,29.75982169863634,0.0013030495028942823,-52.0657894736842,-0.0012383311986923218,12.500000000000014,14,-0.1756739616394043,1.5371410846710205,0.32924979140922583,-0.17443563044071198,0.0013319876743480563,4.864074230194092,-28.125306784192436,0.11124968528747559,113776
-109.5,304,4.105350971221924,29.238748812713652,0.0015136194415390491,-57.23684210526314,0.0018996894359588623,11.5,15,-0.17131884396076202,1.536562442779541,0.3206264248720387,-0.1732185333967209,0.0012952011311426759,4.7830119132995605,-33.81361833754716,0.11116218566894531,121376
-164.50000000000003,304,4.098873615264893,33.26006606216882,0.0010993938194587827,-54.71052631578946,0.00024369359016418457,11.500000000000018,16,-0.17119662463665009,1.5353370904922485,0.2544722041806385,-0.17144031822681427,0.0015326301800087094,4.702439069747925,-33.37001287598219,0.11104893684387207,128976
-146.49999999999997,304,4.19214391708374,32.38065665189259,0.0012206152314320207,-58.07894736842104,-0.0003043860197067261,-11.49999999999997,17,-0.17215976119041443,1.5342351198196411,0.29314439877671433,-0.1718553751707077,0.0010745414765551686,4.846955060958862,-33.82484400269795,0.11348438262939453,136576
-96.5,304,4.185108423233032,24.67571184074829,0.001362771145068109,-46.2236842105263,-0.0003281533718109131,4.500000000000013,18,-0.17132672667503357,1.5311006307601929,0.26623135465382625,-0.17099857330322266,0.0012063272297382355,4.842383146286011,-23.725176526646965,0.11267614364624023,144176
-86.5,304,4.131790637969971,23.344867960877465,0.0014145280001685023,-45.2236842105263,-0.0009648799896240234,2.5000000000000195,19,-0.17380233108997345,1.5262844562530518,0.33222910578124,-0.17283745110034943,0.0013496330939233303,4.785801410675049,-25.413017445604584,0.11194181442260742,151776
-92.99999999999999,304,4.108310222625732,22.478987572207696,0.0014686428476125002,-35.93421052631578,0.002610832452774048,13.000000000000012,20,-0.1681467443704605,1.5293806791305542,0.26152534674478206,-0.17075757682323456,0.0013953369343653321,4.592686176300049,-18.696083253196367,0.11156749725341797,159376
-113.00000000000003,304,4.223986625671387,28.80116487814251,0.001347290351986885,-51.69736842105262,-0.0011092275381088257,4.999999999999986,21,-0.17354384064674377,1.5288112163543701,0.3652788686686456,-0.17243461310863495,0.00153647200204432,4.875231504440308,-29.07453888534499,0.11346292495727539,166976
-115.99999999999996,304,4.076374053955078,24.5382178315588,0.0011993285734206438,-49.61842105263157,-0.0002429485321044922,-8.000000000000005,22,-0.16907650232315063,1.5285487174987793,0.2880237178416973,-0.16883355379104614,0.0013178710360080004,4.706444263458252,-26.869063836426633,0.11201858520507812,174576
-144.5,304,4.115906476974487,31.307365629501312,0.001130729098804295,-44.01315789473683,0.0011250078678131104,14.000000000000014,23,-0.16900673508644104,1.5284202098846436,0.2496594966329452,-0.17013174295425415,0.0011908363085240126,4.659113883972168,-24.975365988698165,0.11198067665100098,182176
-105.99999999999999,304,4.112534284591675,25.03507580926455,0.0012387341121211648,-39.53947368421051,-0.0016402751207351685,3.5000000000000053,24,-0.17482277750968933,1.5260670185089111,0.3351076758083091,-0.17318250238895416,0.0011131338542327285,4.644680976867676,-20.16401660665844,0.11171388626098633,189776
-102.49999999999999,304,4.184601783752441,25.961646680015306,0.0012501250021159649,-41.302631578947356,0.0022685080766677856,19.99999999999999,25,-0.16741348803043365,1.5236151218414307,0.2776779434536401,-0.16968199610710144,0.0012566613731905818,4.7340476512908936,-22.469864802246594,0.11413764953613281,197376
-110.5,304,4.1490983963012695,27.269009354781033,0.0013082256773486733,-39.681578947368415,0.0007760077714920044,13.100000000000017,26,-0.1704655885696411,1.524143099784851,0.2754242816317625,-0.17124159634113312,0.0012359943939372897,4.712243318557739,-20.433453702852283,0.1127471923828125,204965
-97.0,304,4.150644540786743,23.847481820868968,0.0010886290110647678,-35.96052631578946,-0.0003831833600997925,17.000000000000007,27,-0.16907984018325806,1.5201780796051025,0.27100680926419846,-0.16869665682315826,0.0013068401021882892,4.679353952407837,-19.776946509492717,0.11286473274230957,212565
-116.5,304,4.129108667373657,23.31647260493838,0.0015340453246608377,-40.999999999999986,0.0002764463424682617,-9.50000000000001,28,-0.17201736569404602,1.5174856185913086,0.3114719345528172,-0.17229381203651428,0.0010921073844656348,4.726413249969482,-22.376378249285686,0.11241626739501953,220165
-73.99999999999997,304,4.126989364624023,16.449452499540097,0.0012490643421187997,-31.684210526315777,0.0013034343719482422,-2.0000000000000178,29,-0.1693974733352661,1.51791512966156,0.26483930617353985,-0.17070090770721436,0.0014762398786842823,4.540478229522705,-17.24683164687167,0.11226963996887207,227765
-155.00000000000003,304,4.108593702316284,32.832868134186775,0.0012454913230612874,-34.94736842105262,0.0011276155710220337,21.500000000000025,30,-0.17003042995929718,1.5159931182861328,0.30386326849274464,-0.1711580455303192,0.0012687110574916005,4.517898082733154,-17.38662362883746,0.11225223541259766,235365
-89.5,304,4.292353391647339,25.56111640255864,0.0013695587404072285,-26.065789473684198,-0.0046569108963012695,15.500000000000012,31,-0.1748337298631668,1.5131258964538574,0.2873071782677085,-0.17017681896686554,0.0012479914585128427,4.482149124145508,-11.683932619881626,0.11741828918457031,242965
-78.0,312,4.141193389892578,25.368320592381426,0.0012351875193417072,-25.056410256410246,-0.0005735903978347778,43.3,32,-0.1709298938512802,1.5164828300476074,0.29742089203257494,-0.17035630345344543,0.001311213825829327,4.532199144363403,-10.432884554097448,0.11403059959411621,250587
