Iteration,EnvExecTime,GradNorm,TotalEnvSteps,LossAfter,Entropy,ProcessExecTime,AverageDiscountedReturn,KL,PolicyExecTime,StdReturn,KLBefore,AverageReturn,dLoss,EvalAvgReturn,NumTrajs,MinReturn,MaxReturn,LossBefore
0,3.3361456394195557,0.28555566638673674,5000,-0.17373746633529663,1.5933645963668823,0.07343053817749023,-84.43749041245754,0.0007120660739019513,2.639599084854126,51.880531994188345,0.0,-146.02,-0.0035551339387893677,-153.28499999999963,300,-251.00000000000003,-52.49999999999998,-0.177292600274086
1,3.510260820388794,0.36927696096078194,10107,-0.1756492555141449,1.5920413732528687,0.07733750343322754,-75.83283238483041,0.0008319359039887786,2.6723358631134033,58.653107183238994,0.000681538600474596,-136.73846153846154,-0.0030493587255477905,,312,-239.0,-7.499999999999985,-0.1786986142396927
2,3.680415630340576,0.3138850150358284,15162,-0.17356257140636444,1.591374158859253,0.08011698722839355,-90.41202471069734,0.0008536497480235994,2.748945713043213,73.87405442480983,0.000909317983314395,-161.6153846153846,0.0008862167596817017,,312,-319.5,15.900000000000002,-0.17267635464668274
3,3.6971492767333984,0.3044833351028198,20235,-0.17355728149414062,1.5892826318740845,0.07789754867553711,-90.09507178844045,0.0008321602363139391,2.695845603942871,55.096398173709844,0.0008655351703055203,-160.31923076923078,-0.0018991678953170776,,312,-289.5,-69.00000000000001,-0.1754564493894577
4,3.938368082046509,0.29627318834334976,25424,-0.17243599891662598,1.5879957675933838,0.08596038818359375,-78.22968032558842,0.0008313677972182631,2.930725574493408,46.64252510241051,0.0008000044617801905,-147.01538461538462,-0.003024160861968994,,312,-224.0,-62.39999999999999,-0.17546015977859497
5,3.909040689468384,0.3584805715864376,30586,-0.1737377941608429,1.5874131917953491,0.08479571342468262,-75.51351422580464,0.0008194030961021781,2.9511756896972656,44.49752004259147,0.0007982440292835236,-141.16153846153844,-0.0014363229274749756,,312,-216.5,-61.49999999999998,-0.17517411708831787
6,4.006010055541992,0.2766670860460062,35752,-0.17576579749584198,1.586364507675171,0.08179330825805664,-84.10099547940523,0.0009362274431623518,2.828742504119873,62.837195129286116,0.0008201844757422805,-154.11923076923077,-0.0014954209327697754,,312,-322.00000000000006,-75.1,-0.17726121842861176
7,4.085379600524902,0.35160889283019847,40752,-0.17352864146232605,1.584467887878418,0.08588647842407227,-82.2505142404525,0.0006916942656971514,3.005553722381592,54.289608582121865,0.0009993495186790824,-142.28,-0.005247727036476135,,300,-246.0,-37.49999999999997,-0.17877636849880219
8,3.9751040935516357,0.27149055049318427,45752,-0.17159636318683624,1.5854012966156006,0.0834803581237793,-71.21031056650591,0.0006994298892095685,2.9096500873565674,59.562417680950475,0.0006126948865130544,-124.78,-0.0011614561080932617,,300,-233.50000000000003,-28.99999999999998,-0.1727578192949295
9,4.017728090286255,0.35551303606099594,50752,-0.1741296797990799,1.5829765796661377,0.08658409118652344,-89.18517907267118,0.0008447347208857536,2.97536301612854,51.439968895791544,0.0007206335430964828,-153.14,-0.005138009786605835,,300,-240.0,-62.99999999999997,-0.17926768958568573
