AverageReturn,dLoss,ProcessExecTime,KLBefore,LossAfter,Entropy,NumTrajs,LossBefore,MaxReturn,PolicyExecTime,EnvExecTime,KL,Iteration,GradNorm,StdReturn,TotalEnvSteps,MinReturn,AverageDiscountedReturn
-97.68421052631578,-0.0015342384576797485,0.16370916366577148,0.0,-0.1738809049129486,1.5467495918273926,304,-0.17541514337062836,-18.499999999999996,5.6982574462890625,6.138494491577148,0.001321858144365251,0,0.3014646220100142,41.00263487243222,7600,-178.5,-54.08006937132957
-95.32894736842105,0.0013164728879928589,0.15045785903930664,0.001311726402491331,-0.17294158041477203,1.545076608657837,304,-0.17162510752677917,-19.499999999999986,5.720203876495361,6.2495410442352295,0.0012940927408635616,1,0.26408338673542486,38.564756939974814,15200,-216.0,-55.89652270114715
-99.16153846153847,-0.000726848840713501,0.15495657920837402,0.0013221061090007424,-0.17259296774864197,1.5436291694641113,312,-0.17331981658935547,1.7000000000000046,5.741988182067871,6.514524936676025,0.001186432084068656,2,0.290903566073779,51.872247485255535,22893,-269.00000000000006,-55.617477746769815
-99.91052631578947,-0.0005152225494384766,0.15526962280273438,0.0011792172444984317,-0.17213241755962372,1.5360881090164185,304,-0.1726476401090622,-30.999999999999986,5.728139638900757,6.401750802993774,0.0012694764882326126,3,0.274488756466115,40.49498207688456,30464,-231.5,-57.93818565672368
-84.5394736842105,8.285045623779297e-05,0.1508502960205078,0.001302638789638877,-0.17540274560451508,1.5297634601593018,304,-0.17531989514827728,4.000000000000018,5.619852781295776,6.263035297393799,0.0012675607576966286,4,0.3812707318003391,40.53042742300423,38064,-172.99999999999997,-46.040115019817094
-83.88157894736841,-0.0018722563982009888,0.1597602367401123,0.0012830126797780395,-0.17100681364536285,1.526080846786499,304,-0.17287907004356384,8.00000000000001,5.730170011520386,6.347750663757324,0.0011205213377252221,5,0.2800147544833534,41.813249318362665,45664,-186.0,-48.12588924490707
-80.86842105263156,0.0011284798383712769,0.1565241813659668,0.0011212407844141126,-0.17309416830539703,1.5198185443878174,304,-0.17196568846702576,5.000000000000011,5.667572021484375,6.398104429244995,0.0014029432786628604,6,0.3551937372621016,29.943737639491747,53264,-155.00000000000003,-48.154740714168184
-71.36842105263156,-0.0023158788681030273,0.15322113037109375,0.00142498011700809,-0.1713637113571167,1.5176565647125244,304,-0.17367959022521973,-13.5,5.7353692054748535,6.45107626914978,0.0012712061870843172,7,0.2855188069765032,33.72834279998413,60864,-147.5,-41.591371283135636
-72.1842105263158,-0.0009399205446243286,0.15122389793395996,0.0012824335135519505,-0.1726311296224594,1.5157418251037598,304,-0.17357105016708374,-8.999999999999982,5.6811699867248535,6.373307228088379,0.001322796568274498,8,0.27107748335829807,34.31863485135943,68464,-161.49999999999997,-41.88337481707203
-73.97368421052632,0.0020059049129486084,0.15178132057189941,0.0013172802282497287,-0.17205333709716797,1.5128095149993896,304,-0.17004743218421936,-11.50000000000001,5.726305246353149,6.503262519836426,0.0012460651341825724,9,0.3083572317550832,29.316320981669524,76064,-144.0,-43.72485938872985
-64.43421052631578,0.0004328787326812744,0.1532292366027832,0.0012115249410271645,-0.17162714898586273,1.5119465589523315,304,-0.17119427025318146,2.0000000000000107,5.782130718231201,6.558995485305786,0.0012431469513103366,10,0.31637616708364796,27.663668709735415,83664,-114.49999999999999,-40.65481697784973
-59.61842105263157,-0.0005338937044143677,0.15423822402954102,0.0012220696080476046,-0.17160233855247498,1.5096290111541748,304,-0.17213623225688934,1.5000000000000036,5.766106605529785,6.526925802230835,0.0014331722632050514,11,0.2571081054335495,29.377854667680317,91264,-135.0,-33.38051758501057
-57.36842105263157,-0.0016224682331085205,0.15895700454711914,0.0014255802379921079,-0.17040203511714935,1.5074312686920166,304,-0.17202450335025787,-5.999999999999988,5.733386039733887,6.412326097488403,0.0012389960465952754,12,0.3009485193261684,30.95830902208525,98864,-135.5,-32.36485929816088
-61.11842105263157,0.0011303722858428955,0.15858817100524902,0.0012501631863415241,-0.16805309057235718,1.504106879234314,304,-0.16692271828651428,-20.99999999999999,5.675621509552002,6.639631986618042,0.001125719165429473,13,0.27098179607128764,20.209571146562656,106464,-129.49999999999997,-37.04987998619474
-63.89473684210525,0.002795308828353882,0.15493369102478027,0.0011292018461972475,-0.1696411520242691,1.5005643367767334,304,-0.16684584319591522,-6.999999999999986,5.674200057983398,6.55212664604187,0.0011682859621942043,14,0.2974481605617322,27.949474596026054,114064,-136.99999999999997,-37.633165459383555
-50.355263157894726,-0.005893439054489136,0.15746307373046875,0.0011590339709073305,-0.16974984109401703,1.5008822679519653,304,-0.17564328014850616,-3.499999999999984,5.685831785202026,6.443150281906128,0.0012827567989006639,15,0.3266590208063294,21.72613872454367,121664,-92.49999999999996,-26.46082709293308
-53.302631578947356,-0.0022363662719726562,0.15677976608276367,0.0013021680060774088,-0.16669496893882751,1.5064451694488525,304,-0.16893133521080017,-9.0,5.767220735549927,6.4550559520721436,0.001248008687980473,16,0.30033120755383774,29.69461662040254,129264,-120.0,-31.36548460056356
-53.605263157894726,-0.00021457672119140625,0.15775203704833984,0.0012289361329749227,-0.17111125588417053,1.5038061141967773,304,-0.17132583260536194,-9.500000000000014,5.704473495483398,6.629420518875122,0.0011790372664108872,17,0.36260832950942196,21.079785120352184,136864,-90.99999999999997,-30.403359993954908
-48.63157894736841,-0.0004771202802658081,0.15312433242797852,0.0011860305676236749,-0.1694883555173874,1.5048874616622925,304,-0.1699654757976532,-2.999999999999992,5.64471435546875,6.528446674346924,0.0011938627576455474,18,0.2842565422882198,23.09638961605036,144464,-117.5,-28.519440461748655
-54.657894736842096,-0.0008560866117477417,0.15407133102416992,0.0012092544930055737,-0.16966356337070465,1.5030325651168823,304,-0.1705196499824524,5.999999999999993,5.733729124069214,6.627870321273804,0.0013366207713261247,19,0.30612082916429484,24.766569483659207,152064,-105.50000000000003,-32.648668059869586
